id;start_date;end_date;language
1;2020-07-03T02:56:24;2020-07-02T20:04:42;FRENCH
2;2020-07-02T13:32:40;2020-07-03T02:18:21;ENGLISH
3;2020-07-02T12:59:07;2020-07-02T14:55:27;FRENCH
4;2020-07-03T00:44:57;2020-07-02T17:06:35;ENGLISH
5;2020-07-03T03:54:32;2020-07-03T04:29:29;FRENCH
6;2020-07-02T10:09:49;2020-07-02T07:11:12;SPANISH
7;2020-07-02T19:19:53;2020-07-02T22:23:00;ENGLISH
8;2020-07-02T21:07:50;2020-07-03T05:32:28;FRENCH
9;2020-07-02T21:42:14;2020-07-03T06:19:38;ENGLISH
10;2020-07-02T14:53:10;2020-07-02T14:16:47;SPANISH
